imdb_id,original_title,primary_genre,budget,revenue,release_date,averageRating,numVotes
tt0109370,Canadian Bacon,Action,11000000.0,178104.0,1995-06-08,5.9,19485
tt0112642,Casper,Fantasy,50000000.0,287928194.0,1995-05-26,6.2,159230
tt0112688,Clockers,Mystery,25000000.0,13071518.0,1995-09-15,6.9,24908
tt0112715,Congo,Action,50000000.0,152022101.0,1995-06-09,5.3,52436
tt0112740,Crimson Tide,Action,53000000.0,157387195.0,1995-05-12,7.4,135788
tt0112851,Desperado,Thriller,7000000.0,25405445.0,1995-08-25,7.1,208067
tt0112857,Devil in a Blue Dress,Drama,27000000.0,16140822.0,1995-09-15,6.8,27489
tt0112864,Die Hard: With a Vengeance,Action,90000000.0,366101666.0,1995-05-19,7.6,430164
tt0113071,First Knight,Action,55000000.0,127600435.0,1995-07-07,6.0,82589
tt0113243,Hackers,Action,20000000.0,7563728.0,1995-09-14,6.2,81654
tt0113481,Johnny Mnemonic,Adventure,25000000.0,19075720.0,1995-05-26,5.6,80984
tt0113492,Judge Dredd,Science Fiction,90000000.0,113493481.0,1995-06-30,5.6,132017
tt0113540,Kids,Drama,1500000.0,7412216.0,1995-07-28,7.0,91525
tt0113677,Living in Oblivion,Drama,500000.0,1148752.0,1995-01-20,7.5,21693
tt0113749,Mallrats,Romance,6000000.0,2122561.0,1995-10-20,7.0,134159
tt0113820,Mighty Morphin Power Rangers: The Movie,Action,15000000.0,66000000.0,1995-06-30,5.3,32113
tt0110604,Mute Witness,Thriller,2.0,1.0,1995-09-28,6.7,8350
tt0113957,The Net,Crime,22000000.0,110627965.0,1995-07-28,6.0,79637
tt0114095,Party Girl,Comedy,150000.0,472370.0,1995-06-09,6.5,8782
tt0114194,The Prophecy,Fantasy,8.0,16.0,1995-09-01,6.4,35537
tt0114345,The Scarlet Letter,Drama,50000000.0,10382407.0,1995-10-13,5.4,17403
tt0114436,Showgirls,Drama,45000000.0,20350754.0,1995-09-22,5.2,81766
tt0114478,Smoke,Comedy,7000000.0,8349430.0,1995-06-09,7.4,39937
tt0114508,Species,Science Fiction,35000000.0,113374103.0,1995-07-07,5.9,91658
tt0114558,Strange Days,Crime,42000000.0,7959291.0,1995-10-13,7.2,84970
tt0114666,The Tie That Binds,Thriller,14000000.0,5780000.0,1995-09-08,5.0,1334
tt0114781,Under Siege 2: Dark Territory,Action,60000000.0,104324083.0,1995-07-13,5.6,53236
tt0114887,A Walk in the Clouds,Drama,20000000.0,50012507.0,1995-08-11,6.7,39034
tt0114898,Waterworld,Adventure,175000000.0,264218220.0,1995-07-28,6.3,224120
tt0114928,White Man's Burden,Drama,8000000.0,,1995-12-01,5.3,5405
tt0114938,Wild Bill,Action,30000000.0,,1995-12-01,5.8,8760
tt0111579,Утомлённые солнцем,Drama,2800000.0,2616503.0,1994-05-01,7.8,17258
tt0112471,Before Sunrise,Drama,2500000.0,5535405.0,1995-01-27,8.1,376102
tt0112508,Billy Madison,Comedy,10000000.0,26488734.0,1995-02-10,6.4,167364
tt0112571,Boys on the Side,Comedy,21000000.0,23450000.0,1995-02-03,6.5,16062
tt0109445,Clerks,Comedy,27000.0,3151130.0,1994-09-13,7.7,240204
tt0112883,Don Juan DeMarco,Romance,25000000.0,22200000.0,1994-10-01,6.7,55263
tt0109635,Disclosure,Drama,55000000.0,214015089.0,1994-12-09,6.2,58117
tt0109676,Drop Zone,Action,45000000.0,,1994-12-08,5.6,22990
tt0109686,Dumb and Dumber,Comedy,16000000.0,247275374.0,1994-12-16,7.3,443054
tt0109707,Ed Wood,Comedy,18000000.0,5887457.0,1994-09-27,7.8,191199
tt0113303,Hideaway,Drama,15000000.0,12201255.0,1995-03-03,5.3,8044
tt0110057,Hoop Dreams,Documentary,700000.0,7830611.0,1994-09-12,8.3,29531
tt0110005,Heavenly Creatures,Drama,5000000.0,3049135.0,1994-09-02,7.2,70944
tt0110066,Houseguest,Comedy,10500000.0,26325256.0,1995-01-06,6.0,7938
tt0110116,Immortal Beloved,Drama,120.0,,1994-12-16,7.4,27538
tt0110099,I.Q.,Comedy,25000000.0,,1994-12-24,6.2,27605
tt0110148,Interview with the Vampire,Horror,60000000.0,223664608.0,1994-11-11,7.5,375909
tt0113463,Jefferson in Paris,Drama,14000000.0,2474000.0,1995-03-31,5.7,3353
tt0110216,Junior,Comedy,60000000.0,37000000.0,1994-11-22,4.8,77904
tt0113552,Kiss of Death,Action,40000000.0,,1995-04-21,6.0,21211
tt0076759,Star Wars,Adventure,11000000.0,775398007.0,1977-05-25,8.6,1566137
tt0110367,Little Women,Drama,18000000.0,,1994-12-21,7.3,69029
tt0113670,A Little Princess,Drama,17000000.0,,1995-05-10,7.6,39032
tt0109731,L'Enfer,Crime,10000000.0,,1994-02-16,7.0,7224
